id_vente,date_vente,id_produit,id_client,quantite,montant,remise
V001,2026-01-05,P001,C001,3,9.00,0.10
V002,2026-01-05,P002,C002,2,7.00,0.00
V003,2026-01-06,P001,C003,5,15.00,0.10
V004,2026-01-06,P003,C001,1,4.50,0.00
V005,2026-01-07,P002,C004,4,14.00,0.05
V006,2026-01-07,P001,C002,3,9.00,0.10
V007,2026-01-08,P003,C005,2,9.00,0.00
V008,2026-01-08,P002,C003,6,21.00,0.05
V009,2026-01-09,P001,C001,3,9.00,0.10
V010,2026-01-09,P004,C004,1,5.50,0.00
V011,2026-01-10,P002,C002,2,7.00,
V012,2026-01-10,P003,C003,3,13.50,0.00
V013,2026-01-11,P001,C005,4,12.00,0.10
V013,2026-01-11,P001,C005,4,12.00,0.10
V014,2026-01-11,P004,C001,2,11.00,0.00
V015,2026-01-12,P002,,3,10.50,0.05
