id,employe_id,date,motif,jours
1,1,2024-06-07,RTT,4
2,1,2024-06-19,Congés,2
3,1,2024-09-18,Maladie,9
4,1,2024-09-18,Congés,6
5,1,2024-06-28,Congés,4
6,1,2024-02-22,Congés,5
7,4,2024-03-29,Sans solde,3
8,6,2024-12-01,Maladie,3
9,6,2024-11-17,Formation,8
10,6,2024-10-15,Sans solde,8
11,6,2024-12-14,Sans solde,10
12,6,2024-06-14,RTT,3
13,6,2024-08-13,Maladie,8
14,7,2024-11-19,RTT,5
15,7,2024-10-29,Maladie,6
16,7,2024-09-16,Maladie,5
17,8,2024-08-19,Maladie,1
18,8,2024-07-07,RTT,2
19,8,2024-11-26,Maladie,10
20,9,2024-09-16,Formation,8
21,9,2024-10-24,Sans solde,1
22,9,2024-08-18,Sans solde,4
23,9,2024-06-13,Sans solde,8
24,10,2024-03-18,Maladie,8
25,10,2024-02-22,RTT,2
26,10,2024-09-15,Congés,1
27,10,2024-05-06,Formation,8
28,13,2024-09-24,Sans solde,3
29,13,2024-07-05,RTT,5
30,13,2024-07-17,Formation,6
31,13,2024-12-13,Sans solde,1
32,14,2024-11-19,RTT,2
33,14,2024-06-17,Maladie,9
34,14,2024-12-13,Formation,5
35,14,2024-05-09,Sans solde,3
36,14,2024-06-19,Maladie,10
37,14,2024-12-05,Congés,6
38,15,2024-12-01,Formation,3
39,15,2024-10-31,Maladie,5
40,17,2024-07-11,RTT,3
41,17,2024-12-09,Sans solde,2
42,17,2024-11-26,Formation,9
43,17,2024-07-04,Maladie,6
44,18,2024-04-02,Congés,6
45,18,2024-09-05,Congés,4
46,19,2024-03-20,Maladie,5
47,21,2024-02-21,Sans solde,9
48,21,2024-09-26,Maladie,6
49,21,2024-11-12,Congés,10
50,21,2024-07-11,Congés,3
51,21,2024-04-02,Sans solde,3
52,21,2024-08-12,Maladie,7
53,22,2024-12-12,Congés,8
54,22,2024-11-08,RTT,8
55,23,2024-09-30,Congés,5
56,25,2024-08-28,Congés,6
57,25,2024-12-13,Sans solde,8
58,25,2024-08-24,RTT,7
59,25,2024-09-14,Sans solde,7
60,25,2024-03-23,Congés,10
61,25,2024-03-11,RTT,1
62,26,2024-09-03,RTT,9
63,26,2024-02-22,Sans solde,2
64,26,2024-05-25,Maladie,3
65,26,2024-05-19,Formation,9
66,26,2024-03-16,Formation,2
67,27,2024-08-18,RTT,1
68,28,2024-01-28,Formation,9
69,28,2024-07-10,Congés,7
70,28,2024-02-11,RTT,4
71,30,2024-02-20,RTT,3
72,30,2024-03-11,Maladie,5
73,32,2024-08-29,Congés,8
74,32,2024-08-17,Sans solde,1
75,32,2024-02-10,Maladie,5
76,32,2024-04-20,Congés,9
77,32,2024-11-07,Sans solde,7
78,32,2024-02-26,RTT,4
79,33,2024-03-03,Maladie,4
80,33,2024-08-02,Sans solde,8
81,36,2024-09-12,Sans solde,9
82,36,2024-01-09,Sans solde,10
83,36,2024-05-03,Congés,5
84,36,2024-08-07,Maladie,10
85,36,2024-06-29,Congés,10
86,36,2024-08-01,Congés,2
87,37,2024-07-03,Maladie,9
88,37,2024-10-05,Sans solde,9
89,37,2024-10-10,Maladie,7
90,37,2024-08-28,Maladie,7
91,38,2024-05-09,Maladie,6
92,38,2024-02-04,RTT,4
93,40,2024-12-02,Maladie,10
94,40,2024-06-19,Congés,1
95,40,2024-06-29,Sans solde,6
96,40,2024-11-25,Congés,8
97,40,2024-12-22,Formation,3
98,41,2024-03-10,Maladie,8
99,41,2024-01-19,RTT,4
100,41,2024-01-23,Congés,1
101,41,2024-06-10,RTT,9
102,41,2024-07-22,Sans solde,8
103,41,2024-05-09,Maladie,4
104,42,2024-07-01,Maladie,6
105,42,2024-05-19,Maladie,6
106,43,2024-07-23,Formation,7
107,43,2024-06-22,Congés,8
108,43,2024-12-20,Formation,6
109,44,2024-09-22,RTT,2
110,44,2024-08-05,Maladie,7
111,44,2024-11-04,Congés,9
112,44,2024-05-30,RTT,2
113,44,2024-02-10,RTT,5
114,44,2024-06-05,Formation,10
115,45,2024-08-06,Congés,8
116,45,2024-06-28,Formation,1
117,45,2024-06-29,Sans solde,7
118,45,2024-05-20,Maladie,2
119,45,2024-12-09,Formation,6
120,46,2024-12-13,Congés,1
121,46,2024-03-14,Sans solde,8
122,46,2024-01-18,Congés,2
123,46,2024-04-30,RTT,6
124,47,2024-10-17,Maladie,10
125,47,2024-03-19,Formation,6
126,47,2024-07-09,Formation,2
127,49,2024-03-11,Sans solde,6
128,49,2024-07-22,RTT,5
129,49,2024-05-07,Maladie,1
130,49,2024-04-05,Formation,9
131,50,2024-10-14,Maladie,5
132,50,2024-05-13,Formation,4
133,50,2024-11-09,RTT,8
134,51,2024-03-03,Congés,2
135,52,2024-03-29,Formation,2
136,52,2024-12-15,RTT,6
137,52,2024-02-03,Sans solde,9
138,54,2024-06-02,Congés,3
139,54,2024-07-04,Sans solde,4
140,56,2024-03-12,Congés,8
141,58,2024-10-10,Sans solde,6
142,58,2024-08-27,Sans solde,3
143,59,2024-02-14,Maladie,5
144,59,2024-07-22,Formation,9
145,59,2024-07-29,Formation,10
146,59,2024-02-07,Congés,6
147,60,2024-02-07,Formation,8
148,60,2024-12-14,Sans solde,6
149,60,2024-03-06,Sans solde,10
150,60,2024-04-03,Congés,7
151,60,2024-09-14,Maladie,2
152,61,2024-03-19,RTT,3
153,61,2024-03-23,RTT,4
154,61,2024-06-26,Sans solde,5
155,61,2024-02-10,RTT,4
156,64,2024-10-09,RTT,3
157,64,2024-11-16,RTT,10
158,64,2024-09-30,Maladie,9
159,64,2024-11-24,Congés,10
160,64,2024-10-24,Congés,3
161,66,2024-11-15,Sans solde,6
162,66,2024-10-15,Maladie,1
163,66,2024-02-11,Maladie,10
164,66,2024-05-15,Congés,10
165,66,2024-08-01,Sans solde,1
166,67,2024-11-17,Sans solde,5
167,67,2024-11-24,RTT,8
168,67,2024-05-05,Formation,5
169,69,2024-02-07,Maladie,3
170,69,2024-08-13,Formation,8
171,69,2024-08-25,Congés,6
172,71,2024-03-14,RTT,6
173,71,2024-06-25,Formation,3
174,71,2024-07-08,Sans solde,9
175,71,2024-02-24,RTT,4
176,73,2024-03-03,RTT,8
177,73,2024-05-06,Congés,2
178,73,2024-01-26,RTT,7
179,74,2024-11-11,Formation,4
180,74,2024-03-22,RTT,10
181,74,2024-06-09,Congés,3
182,74,2024-09-12,Sans solde,8
183,74,2024-09-12,RTT,8
184,74,2024-01-12,Maladie,7
185,75,2024-08-22,Congés,4
186,75,2024-10-25,RTT,1
187,75,2024-01-26,RTT,8
188,75,2024-11-01,Formation,5
189,78,2024-01-05,Maladie,7
190,78,2024-03-09,RTT,6
191,78,2024-07-25,RTT,1
192,78,2024-07-24,Maladie,10
193,79,2024-04-09,RTT,9
194,79,2024-05-27,Maladie,7
195,79,2024-09-15,Formation,9
196,79,2024-05-23,Sans solde,10
197,82,2024-02-19,Formation,6
198,84,2024-06-22,Sans solde,6
199,84,2024-03-14,Congés,10
200,84,2024-09-17,Formation,9
201,84,2024-01-21,Maladie,1
202,84,2024-03-11,RTT,8
203,84,2024-09-22,Formation,3
204,85,2024-09-20,Congés,6
205,85,2024-11-09,RTT,3
206,85,2024-07-20,Sans solde,5
207,85,2024-10-30,RTT,9
208,87,2024-09-17,Sans solde,8
209,87,2024-10-15,RTT,8
210,87,2024-01-09,RTT,6
211,87,2024-12-10,Maladie,7
212,87,2024-10-25,RTT,1
213,87,2024-11-01,Formation,5
214,88,2024-10-23,Sans solde,4
215,88,2024-01-27,Sans solde,8
216,88,2024-03-28,Sans solde,10
217,88,2024-07-13,Congés,4
218,88,2024-01-17,Sans solde,2
219,89,2024-01-10,Formation,6
220,90,2024-03-18,Formation,4
221,90,2024-07-29,Sans solde,10
222,90,2024-08-29,Maladie,3
223,91,2024-04-16,Sans solde,6
224,91,2024-12-05,Formation,9
225,91,2024-07-11,RTT,3
226,91,2024-08-23,Sans solde,6
227,92,2024-06-30,RTT,10
228,92,2024-09-04,Congés,4
229,92,2024-05-22,Sans solde,5
230,92,2024-04-25,RTT,5
231,95,2024-04-16,Formation,6
232,95,2024-09-02,RTT,9
233,95,2024-05-20,RTT,2
234,95,2024-10-20,Sans solde,7
235,95,2024-07-21,RTT,3
236,96,2024-01-22,RTT,2
237,96,2024-06-26,Formation,5
238,97,2024-09-02,Congés,4
239,97,2024-10-02,RTT,9
240,97,2024-12-22,RTT,3
241,97,2024-02-25,Sans solde,10
242,97,2024-05-02,Congés,1
243,99,2024-09-28,Congés,4
244,99,2024-01-27,Maladie,7
245,99,2024-06-18,Formation,2
246,99,2024-12-14,Congés,1
247,99,2024-10-08,Congés,7
248,100,2024-08-31,Formation,4
249,100,2024-05-27,RTT,5
250,100,2024-11-26,Maladie,2
251,100,2024-11-29,Sans solde,4
252,100,2024-09-30,Maladie,3
253,101,2024-03-31,Maladie,7
254,101,2024-09-10,Congés,5
255,101,2024-01-20,Maladie,5
256,102,2024-11-04,Maladie,6
257,102,2024-05-25,Formation,9
258,102,2024-09-25,Formation,3
259,102,2024-09-15,Formation,5
260,103,2024-02-27,RTT,3
261,104,2024-08-22,RTT,3
262,104,2024-01-08,RTT,5
263,104,2024-10-17,Congés,3
264,104,2024-11-08,Formation,7
265,104,2024-09-20,RTT,2
266,107,2024-12-08,Maladie,3
267,107,2024-03-12,Formation,6
268,107,2024-05-07,Maladie,5
269,108,2024-04-30,Formation,5
270,108,2024-06-17,RTT,10
271,108,2024-10-20,Maladie,5
272,109,2024-07-03,Congés,1
273,109,2024-12-07,Maladie,8
274,109,2024-06-06,Congés,7
275,109,2024-12-17,Sans solde,5
276,109,2024-12-19,Maladie,5
277,110,2024-11-10,Congés,4
278,110,2024-03-09,Formation,3
279,111,2024-11-06,RTT,7
280,111,2024-12-25,Sans solde,8
281,111,2024-10-02,Congés,4
282,112,2024-11-01,Maladie,9
283,112,2024-08-16,Sans solde,6
284,112,2024-02-09,Sans solde,2
285,112,2024-02-01,Sans solde,9
286,112,2024-04-13,Sans solde,9
287,113,2024-03-25,RTT,9
288,114,2024-02-29,Congés,10
289,114,2024-09-07,Maladie,9
290,114,2024-08-16,Maladie,8
291,115,2024-09-19,Formation,8
292,118,2024-01-30,Sans solde,8
293,118,2024-12-10,RTT,1
294,118,2024-07-21,RTT,1
295,118,2024-04-21,Sans solde,2
296,120,2024-06-25,Maladie,9
297,120,2024-01-31,Maladie,8
298,120,2024-01-17,RTT,7
299,121,2024-03-10,Formation,6
300,122,2024-08-17,Formation,7
301,122,2024-02-11,Sans solde,3
302,122,2024-11-30,RTT,2
303,124,2024-10-02,Formation,9
304,126,2024-04-24,Maladie,1
305,127,2024-08-25,Sans solde,7
306,127,2024-09-29,Formation,4
307,128,2024-08-23,RTT,3
308,129,2024-04-06,Maladie,1
309,129,2024-12-04,Formation,10
310,131,2024-01-09,Congés,4
311,131,2024-02-04,Maladie,10
312,131,2024-01-18,Formation,10
313,131,2024-12-10,Maladie,4
314,131,2024-01-23,Formation,8
315,131,2024-04-29,Sans solde,4
316,132,2024-01-29,Congés,9
317,132,2024-05-28,Congés,10
318,132,2024-06-12,Sans solde,10
319,132,2024-12-10,RTT,4
320,132,2024-06-03,Congés,9
321,132,2024-04-23,Formation,5
322,133,2024-02-01,Sans solde,10
323,133,2024-03-30,Formation,9
324,134,2024-01-25,RTT,7
325,134,2024-09-25,RTT,7
326,134,2024-07-28,Congés,5
327,137,2024-04-04,Sans solde,8
328,137,2024-05-03,Congés,5
329,137,2024-03-14,Formation,1
330,138,2024-07-30,Formation,9
331,138,2024-09-28,Congés,7
332,138,2024-05-04,RTT,4
333,138,2024-06-18,Maladie,8
334,139,2024-07-08,Maladie,9
335,139,2024-04-07,Maladie,5
336,139,2024-07-12,Sans solde,10
337,139,2024-01-21,Maladie,4
338,139,2024-10-27,Sans solde,4
339,139,2024-09-02,Congés,6
340,140,2024-01-08,Congés,4
341,140,2024-03-01,Formation,4
342,141,2024-11-05,Congés,7
343,141,2024-05-02,Sans solde,6
344,141,2024-05-24,Formation,8
345,141,2024-09-30,RTT,5
346,141,2024-05-13,RTT,9
347,142,2024-08-26,Maladie,8
348,142,2024-06-12,Congés,6
349,142,2024-06-09,Formation,1
350,143,2024-04-23,Congés,1
351,143,2024-05-13,Sans solde,10
352,143,2024-10-23,Formation,5
353,143,2024-03-19,Congés,6
354,144,2024-07-13,Sans solde,4
355,145,2024-10-08,RTT,5
356,145,2024-09-07,Formation,8
357,145,2024-03-27,RTT,3
358,147,2024-10-06,Formation,3
359,148,2024-11-24,Maladie,9
360,148,2024-01-18,Maladie,1
361,148,2024-01-04,Formation,3
362,148,2024-11-18,Congés,2
363,149,2024-03-18,Maladie,4
364,149,2024-09-15,Formation,6
365,149,2024-01-31,Sans solde,10
366,149,2024-09-04,Formation,1
367,149,2024-01-04,Sans solde,9
368,150,2024-01-07,Maladie,9
369,150,2024-05-20,Sans solde,5
370,150,2024-01-09,Sans solde,7
371,151,2024-04-01,Maladie,2
372,151,2024-09-25,Congés,4
373,151,2024-04-08,Sans solde,9
374,151,2024-05-09,RTT,5
375,151,2024-07-22,Maladie,6
376,151,2024-07-26,Formation,10
377,154,2024-12-22,Congés,5
378,156,2024-02-11,Maladie,2
379,156,2024-07-26,Formation,7
380,156,2024-10-09,Formation,1
381,156,2024-11-22,Maladie,3
382,156,2024-02-12,Formation,7
383,157,2024-06-18,Sans solde,2
384,157,2024-09-27,Maladie,4
385,157,2024-04-18,Sans solde,8
386,157,2024-05-18,Maladie,2
387,157,2024-12-16,RTT,9
388,158,2024-12-02,Maladie,3
389,158,2024-06-10,Maladie,4
390,158,2024-10-27,Congés,7
391,158,2024-02-09,RTT,3
