id,nom,departement_id,poste,contrat,date_embauche,salaire_annuel,genre,actif
1,Employe_1,2,Analyste,CDI,2019-07-26,34717.0,H,1
2,Employe_2,1,Commercial,CDI,2019-01-19,42328.0,F,0
3,Employe_3,2,Technicien,CDI,2023-01-14,66618.0,F,0
4,Employe_4,3,Commercial,Stage,2021-02-12,38189.0,F,1
5,Employe_5,4,Technicien,Stage,2019-02-01,51526.0,F,0
6,Employe_6,5,Ingénieur,Stage,2019-05-27,52807.0,H,1
7,Employe_7,6,Analyste,CDD,2018-10-12,31003.0,H,1
8,Employe_8,2,Technicien,Freelance,2019-02-18,52911.0,H,1
9,Employe_9,3,Analyste,Stage,2021-12-26,41730.0,F,1
10,Employe_10,5,Manager,Freelance,2020-09-29,51588.0,H,1
11,Employe_11,6,Commercial,CDI,2021-08-21,31665.0,H,0
12,Employe_12,3,Assistant,Stage,2018-09-29,41826.0,F,0
13,Employe_13,4,Technicien,CDD,2023-02-23,51588.0,F,1
14,Employe_14,6,Manager,Stage,2022-10-21,66242.0,F,1
15,Employe_15,5,Ingénieur,CDI,2023-07-15,51588.0,F,1
16,Employe_16,6,Ingénieur,Freelance,2022-09-26,51588.0,H,0
17,Employe_17,5,Ingénieur,CDI,2020-10-26,64256.0,H,1
18,Employe_18,1,Commercial,Freelance,2021-04-17,51588.0,F,1
19,Employe_19,5,Ingénieur,Stage,2020-01-02,51588.0,F,1
20,Employe_20,3,Assistant,CDI,2019-10-24,63348.0,H,0
21,Employe_21,1,Technicien,CDD,2019-04-04,51788.0,F,1
22,Employe_22,5,Analyste,Freelance,2018-11-19,33613.0,F,1
23,Employe_23,2,Commercial,Stage,2023-05-01,51588.0,H,1
24,Employe_24,5,Technicien,Freelance,2020-04-03,51588.0,H,0
25,Employe_25,5,Commercial,CDD,2023-01-24,51588.0,F,1
26,Employe_26,1,Commercial,CDI,2020-07-31,66564.0,F,1
27,Employe_27,2,Technicien,CDI,2018-10-04,30058.0,F,1
28,Employe_28,6,Assistant,CDD,2023-06-12,42040.0,H,1
29,Employe_29,4,Ingénieur,CDI,2022-07-26,40478.0,H,1
30,Employe_30,4,Analyste,CDI,2022-08-11,58606.0,F,1
31,Employe_31,4,Commercial,CDD,2021-10-21,35161.0,F,0
32,Employe_32,2,Technicien,Freelance,2022-09-25,51588.0,F,1
33,Employe_33,4,Analyste,CDI,2019-02-06,31315.0,F,1
34,Employe_34,2,Manager,CDD,2022-07-23,59826.0,H,1
35,Employe_35,2,Manager,Stage,2022-04-02,28141.0,H,1
36,Employe_36,4,Commercial,Stage,2023-06-17,38144.0,F,1
