id,employe_id,annee,note,objectif_atteint
4,4,2024,4.2,0
6,6,2024,2.3,0
7,7,2024,1.7,0
8,8,2024,2.7,0
9,9,2024,2.7,1
10,10,2024,2.9,0
13,13,2024,3.0,0
15,15,2024,3.5,1
17,17,2024,2.9,0
18,18,2024,4.9,1
19,19,2024,3.0,1
21,21,2024,1.3,0
22,22,2024,1.9,0
23,23,2024,3.2,0
25,25,2024,3.3,1
26,26,2024,1.5,0
27,27,2024,3.2,1
28,28,2024,2.9,1
29,29,2024,5.0,0
30,30,2024,3.6,0
32,32,2024,5.0,1
33,33,2024,4.4,0
34,34,2024,5.0,0
35,35,2024,4.0,1
36,36,2024,3.4,1
40,40,2024,1.8,0
41,41,2024,3.1,0
42,42,2024,3.8,1
43,43,2024,2.9,0
45,45,2024,2.6,0
46,46,2024,4.5,0
47,47,2024,1.5,0
49,49,2024,4.3,1
50,50,2024,3.3,1
51,51,2024,2.5,0
52,52,2024,4.5,0
54,54,2024,4.0,1
55,55,2024,2.9,0
56,56,2024,4.4,0
57,57,2024,2.8,1
58,58,2024,4.2,1
59,59,2024,2.7,0
60,60,2024,2.3,1
61,61,2024,3.3,1
64,64,2024,4.6,0
67,67,2024,4.3,0
71,71,2024,2.8,0
73,73,2024,2.7,0
74,74,2024,2.2,1
78,78,2024,1.3,0
81,81,2024,3.9,0
82,82,2024,1.4,0
85,85,2024,1.5,0
87,87,2024,2.8,0
88,88,2024,4.3,1
89,89,2024,2.9,0
90,90,2024,3.9,0
92,92,2024,2.2,1
95,95,2024,4.0,0
96,96,2024,3.7,0
97,97,2024,1.0,0
99,99,2024,3.9,0
100,100,2024,3.5,1
101,101,2024,1.3,0
104,104,2024,2.4,1
107,107,2024,1.6,1
108,108,2024,2.0,1
109,109,2024,3.8,1
110,110,2024,3.4,0
111,111,2024,2.2,0
112,112,2024,4.2,0
113,113,2024,2.9,1
114,114,2024,1.3,0
115,115,2024,4.7,0
118,118,2024,4.4,1
119,119,2024,3.7,1
120,120,2024,4.1,0
121,121,2024,1.1,0
126,126,2024,3.0,1
127,127,2024,2.6,0
128,128,2024,2.2,0
129,129,2024,1.6,1
131,131,2024,3.5,0
132,132,2024,2.7,0
137,137,2024,2.8,0
138,138,2024,4.0,0
140,140,2024,3.8,0
141,141,2024,2.4,1
144,144,2024,2.1,0
145,145,2024,1.1,1
147,147,2024,1.3,0
148,148,2024,3.0,0
149,149,2024,3.3,1
151,151,2024,4.6,0
154,154,2024,3.0,0
156,156,2024,1.0,0
157,157,2024,2.5,0
159,159,2024,1.1,1
160,160,2024,2.0,1
161,161,2024,1.3,1
163,163,2024,1.2,0
164,164,2024,4.9,1
167,167,2024,2.1,1
168,168,2024,3.2,0
169,169,2024,2.2,1
170,170,2024,2.0,1
171,171,2024,3.0,0
172,172,2024,3.2,0
175,175,2024,1.1,1
178,178,2024,2.9,0
179,179,2024,1.0,1
181,181,2024,3.9,0
182,182,2024,4.9,1
184,184,2024,1.2,0
185,185,2024,1.4,0
186,186,2024,3.1,1
187,187,2024,4.0,0
189,189,2024,3.5,1
191,191,2024,2.7,0
192,192,2024,2.0,1
193,193,2024,2.6,1
194,194,2024,2.1,0
196,196,2024,1.5,0
199,199,2024,2.6,1
